help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Karczowiska_legnickie;Karczowiska;legnickie;urząd stanu cywilnego;;1874 - 1938;85/281/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87373#;51.3048084;16.1587628;Dolnośląskie;1;0;1
Karczyce_wrocławskie;Karczyce;wrocławskie;urząd stanu cywilnego;;1938-1943;82/2519/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/160733#;51.102974;16.7439996;Lubuskie,  Dolnośląskie;1;0;1
Kargowa_zielonogórskie;Kargowa;zielonogórskie;urząd stanu cywilnego;;1874-1945 [2012];89/959/0;9673;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/64137#;52.0719225;15.8638044;Lubuskie,  Dolnośląskie;1;9673;1
Karłów_wałbrzyskie;Karłów;wałbrzyskie;urząd stanu cywilnego;;1874-1941;82/1585/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90192#;50.4755803;16.3378069;Dolnośląskie;1;0;1
Karłowice_opolskie;Karłowice;opolskie;urząd stanu cywilnego;;1874-1938;45/771/0;4095;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45263#;50.8748757;17.7105215;Dolnośląskie;1;4095;1
Karłowice_wrocławskie;Karłowice;wrocławskie;urząd stanu cywilnego;;1874-1913;82/1438/0;2821;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90045#;51.1395952;17.0489524;Wielkopolskie, Łódzkie;1;2821;1
Karnice_szczecińskie;Karnice;szczecińskie;urząd stanu cywilnego;;1874-1938;65/611/0;2805;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69044#;54.0305255;15.0535309;Lubuskie, Zachodniopomorskie;1;2805;1
Karnin_gorzowskie;Karnin;gorzowskie;urząd stanu cywilnego;;1874-1938;66/413/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35861#;52.6819444;15.2781666;Kujawsko-Pomorskie,  Wielkopolskie;1;0;1
Karnkowo_włocławskie;Karnkowo;włocławskie;urząd stanu cywilnego;;"1770-1821; 1826-1923";71/203/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104474#;52.859047;19.2500542;Dolnośląskie;1;0;1
Karolin_wrocławskie;Karolin;wrocławskie;urząd stanu cywilnego;;1874-1945;82/1379/0;1716;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/89987#;50.839229;16.797044;Dolnośląskie;1;1716;1
Karpacz_jeleniogórskie;Karpacz;jeleniogórskie;urząd stanu cywilnego;;1921-1945 [2006-2024];83/827/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/102101#;50.7747485;15.7532035;Lubuskie,  Dolnośląskie;1;0;1
Karsko_gorzowskie;Karsko;gorzowskie;urząd stanu cywilnego;;1874-1938;66/450/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35898#;52.91097;15.11069;Pomorskie;0;0;1
Kaszczor_leszczyńskie;Kaszczor;leszczyńskie;urząd stanu cywilnego;;1874-1935;34/421/0;13090;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/27367#;51.9580839;16.1603411;Mazowieckie,  Świętokrzyskie;0;13090;1
Kątki_wałbrzyskie;Kątki;wałbrzyskie;urząd stanu cywilnego;;1874-1942 [1946];82/1584/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90191#;50.8565226;16.5976209;Śląskie, Małopolskie,  Opolskie;1;0;1
Kątna_wrocławskie;Kątna;wrocławskie;urząd stanu cywilnego;;1874-1944;82/1418/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90026#;51.1323996;17.2829235;Wielkopolskie, Dolnośląskie;1;0;1
Katowice_katowickie;Katowice;katowickie;urząd stanu cywilnego;;1874-1943;12/2595/0;160413;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/142861#;50.2598987;19.0205852;Dolnośląskie;1;160413;1
Kąty Wrocławskie_wrocławskie;Kąty Wrocławskie;wrocławskie;urząd stanu cywilnego;;1874-1910;82/1463/0;2956;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90070#;51.0302656;16.7692325;Zachodniopomorskie, Pomorskie;0;2956;1
Kawczyn_leszczyńskie;Kawczyn;leszczyńskie;urząd stanu cywilnego;;1877-1935;34/422/0;6000;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/27368#;52.1268247;16.6840996;Opolskie;1;6000;1
Kawice_legnickie;Kawice;legnickie;urząd stanu cywilnego;;1874 - 1941;85/568/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87660#;51.2313031;16.4242466;Łódzkie;0;0;1
Kazimierz_opolskie;Kazimierz;opolskie;urząd stanu cywilnego;;1874-1938;45/806/0;2897;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45298#;50.2962328;17.8922911;Świętokrzyskie, Mazowieckie,  Łódzkie;0;2897;1
Kaźmierz_poznańskie;Kaźmierz;poznańskie;urząd stanu cywilnego;;1904-1931;53/5409/0;1563;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20944#;52.5129241;16.5821468;Mazowieckie;0;1563;1
Kcynia_bydgoskie;Kcynia;bydgoskie;urząd stanu cywilnego;miasto;1874-1935 [1946-1949];6/1702/0;9278;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/147796#;52.9917668;17.4863729;Kujawsko-Pomorskie;1;9278;1
Kcynia_bydgoskie;Kcynia;bydgoskie;urząd stanu cywilnego;obwód wiejski;1874-1935;6/1703/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/146409#;52.9917668;17.4853729;Kujawsko-Pomorskie;1;0;2
Kcynia_bydgoskie;Kcynia;bydgoskie;urząd stanu cywilnego;;1936;6/3271/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/158753#;52.9917668;17.4843729;Kujawsko-Pomorskie;1;0;3
Kędzierzyn_opolskie;Kędzierzyn;opolskie;urząd stanu cywilnego;;1957;45/3579/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/70324#;50.3448836;18.2099594;Opolskie;1;0;1
