help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;obwód wiejski;1874-1938 [1986];45/1064/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45554#;50.3853609;17.6599107;Opolskie;1
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;;1874-1938 [1986];45/1064/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45554#;50.3853609;17.6599107;Opolskie;1
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;;1874-1940;45/1065/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45555#;50.3853609;17.6599107;Opolskie;1
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;;1945-1987;45/3603/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/76135#;50.3853609;17.6599107;Opolskie;1
Białcz_gorzowskie;Białcz;gorzowskie;urząd stanu cywilnego;;1874-1938;66/657/0;1856;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/36105#;52.67614;14.9396;Lubuskie, Zachodniopomorskie;1
Białobrzezie_wrocławskie;Białobrzezie;wrocławskie;urząd stanu cywilnego;;1874-1928;82/1405/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90013#;50.800045;16.900087;Dolnośląskie;1
Białochowo_toruńskie;Białochowo;toruńskie;urząd stanu cywilnego;;1874-1935 [1978, 1995];69/1103/0;3630;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103357#;53.545812;18.875242;Kujawsko-Pomorskie;1
Białołęka_legnickie;Białołęka;legnickie;urząd stanu cywilnego;;1874 - 1934;85/544/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87636#;51.64587;16.21376;Dolnośląskie;1
Białołęka_legnickie;Białołęka;legnickie;urząd stanu cywilnego;;1874-1899;89/202/0;887;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63288#;51.64587;16.21376;Dolnośląskie;1
Białośliwie_pilskie;Białośliwie;pilskie;urząd stanu cywilnego;;1874 - 1914;55/529/0;12074;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/23374#;53.0999053;17.1228229;Wielkopolskie, Zachodniopomorskie;1
Białuń_szczecińskie;Białuń;szczecińskie;urząd stanu cywilnego;;1877-1892;65/801/0;725;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69228#;53.6114243;14.8506816;Zachodniopomorskie,  Lubuskie;1
Biały Kamień_wałbrzyskie;Biały Kamień;wałbrzyskie;urząd stanu cywilnego;;1874-1944;82/1727/0;17246;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90334#;50.7808218;16.2495847;Dolnośląskie;1
Biecz_zielonogórskie;Biecz;zielonogórskie;urząd stanu cywilnego;;1946-1969 [1972];89/2668/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/160496#;51.8062358;14.8330065;Lubuskie,  Dolnośląskie;1
Bieczyno_szczecińskie;Bieczyno;szczecińskie;urząd stanu cywilnego;;1874-1938;65/596/0;5348;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69029#;54.10475;15.35502;Zachodniopomorskie,  Lubuskie;1
Biedrusko_poznańskie;Biedrusko;poznańskie;urząd stanu cywilnego;;1874-1930;53/1827/0;1402;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/16931#;52.5432315;16.9458753;Wielkopolskie;1
Biedrzychowice Dolne_zielonogórskie;Biedrzychowice Dolne;zielonogórskie;urząd stanu cywilnego;;1874-1938;89/233/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63319#;51.7403791;15.1358241;Lubuskie,  Dolnośląskie;1
Biedrzychowice_jeleniogórskie;Biedrzychowice;jeleniogórskie;urząd stanu cywilnego;;1874 - 1936;86/8/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/84230#;51.041015;15.3804187;Dolnośląskie;1
Biedrzychowice_opolskie;Biedrzychowice;opolskie;urząd stanu cywilnego;;1874-1943;45/1041/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45531#;50.3371745;17.9406712;Opolskie;1
