Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Daleszów_jeleniogórskie;Daleszów;jeleniogórskie;ewangelicko-augsburskie;;[1655 - 1879] 1879 - 1945;83/94/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86261#;50.7777496;16.0144489;Dolnośląskie;1;0;1
Dębice_szczecińskie;Dębice;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.5354899;15.1192402;Zachodniopomorskie,  Lubuskie;1;114460;1
Dębrznik_jeleniogórskie;Dębrznik;jeleniogórskie;ewangelicko-augsburskie;;[1655 - 1879] 1879 - 1945;83/94/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86261#;50.8104356;16.03824;Dolnośląskie;1;0;1
Deszczno_gorzowskie;Deszczno;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.67187;15.3086414;Lubuskie, Zachodniopomorskie;1;68637;1
Dłusko_szczecińskie;Dłusko;szczecińskie;ewangelicko-augsburskie;;[1638-1878] 1879-1945;65/781/0;9759;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69208#;53.4942648;15.4866709;Zachodniopomorskie,  Lubuskie;1;9759;1
Dłużyna_jeleniogórskie;Dłużyna;jeleniogórskie;ewangelicko-augsburskie;;1396-1944;82/42/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88333#;51.2327348;15.1141536;Dolnośląskie;1;0;1
Dobiercice_opolskie;Dobiercice;opolskie;ewangelicko-augsburskie;;1824-1874;45/3369/0;626;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47872#;51.06944;18.2521;Opolskie;1;626;1
Dobieszewo_szczecińskie;Dobieszewo;szczecińskie;ewangelicko-augsburskie;;[1638-1878] 1879-1945;65/781/0;9759;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69208#;53.6135737;15.5353258;Zachodniopomorskie,  Lubuskie;1;9759;1
Dobra_wrocławskie;Dobra;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.2746448;15.5112614;Dolnośląskie;1;0;1
Dobrkowo_szczecińskie;Dobrkowo;szczecińskie;ewangelicko-augsburskie;;[1638-1878] 1879-1945;65/781/0;9759;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69208#;53.6116;15.32938;Zachodniopomorskie,  Lubuskie;1;9759;1
Dobrojewo_gorzowskie;Dobrojewo;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.68422;15.45912;Lubuskie, Zachodniopomorskie;1;68637;1
Dobromierz_wałbrzyskie;Dobromierz;wałbrzyskie;ewangelicko-augsburskie;;1656 - 1733, 1747 - 1946;85/54/0;23841;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87135#;50.9101288;16.235091;Dolnośląskie;1;23841;1
Dobrosławiec_szczecińskie;Dobrosławiec;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.5125987;14.9829668;Zachodniopomorskie,  Lubuskie;1;114460;1
Dobrosułów_zielonogórskie;Dobrosułów;zielonogórskie;ewangelicko-augsburskie;;1811-1894;89/109/0;335;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63154#;52.19211;15.12447;Lubuskie,  Dolnośląskie;1;335;1
Dobrzyń nad Wisłą_włocławskie;Dobrzyń nad Wisłą;włocławskie;ewangelicko-augsburskie;;1838-1917;71/390/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104661#;52.6372518;19.3203714;Kujawsko-Pomorskie,  Wielkopolskie;1;0;1
Dołuje_szczecińskie;Dołuje;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.4357192;14.4016625;Zachodniopomorskie,  Lubuskie;1;114460;1
Domanice_wrocławskie;Domanice;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.4208276;16.6248444;Dolnośląskie;1;0;1
