Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Jabłonów_zielonogórskie;Jabłonów;zielonogórskie;rzymskokatolickie;;1814-1816;89/724/0;11;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63908#;51.6817519;15.4090811;Lubuskie,  Dolnośląskie;1
Jabłów_wałbrzyskie;Jabłów;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.783371;16.161087;Dolnośląskie;1
Jaczków_wałbrzyskie;Jaczków;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.8070322;16.0970704;Dolnośląskie;1
Jaczków_wałbrzyskie;Jaczków;wałbrzyskie;rzymskokatolickie;;[1655 - 1879] 1879 - 1945;83/94/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86261#;50.8070322;16.0970704;Dolnośląskie;1
Jaczów_legnickie;Jaczów;legnickie;rzymskokatolickie;;;kein Bestand;0;0;51.6269166;16.0739394;Dolnośląskie;1
Jaksice_bydgoskie;Jaksice;bydgoskie;rzymskokatolickie;;1818 - 1874;7/91/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/143697#;52.86063;18.19624;Kujawsko-Pomorskie;1
Jakubowice_opolskie;Jakubowice;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.5982372;17.5532223;Opolskie;1
Jakubowice_opolskie;Jakubowice;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.5982372;17.5532223;Opolskie;1
Jakubów_legnickie;Jakubów;legnickie;rzymskokatolickie;;;kein Bestand;0;0;50.8177891;16.5023145;Dolnośląskie;1
Janice_jeleniogórskie;Janice;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;50.9563636;15.5297895;Dolnośląskie;1
Janiszów_jeleniogórskie;Janiszów;jeleniogórskie;rzymskokatolickie;;[1655 - 1879] 1879 - 1945;83/94/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86261#;51.4066014;17.1237566;Dolnośląskie;1
